coreid	scientificNameID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	namePublishedInID	acceptedNameUsageID	taxonomicStatus	originalNameUsageID	taxonRemarks	created	modified	references	kingdom	nomenclaturalCode	bibliographicCitation	rightsHolder	license	rights
wfo-0001026230		Solanum anisophyllum	SPECIES	wfo-4000035688	Van Heurck & M?ll.Arg.	Solanaceae				Solanum 		anisophyllum		sp.		"""V. H. & M?ll.Arg., Observ. Bot. 52. 1870, 1870."""	sol-0001026230		accepted					http://solanaceaesource.org/solanaceae/solanum-anisophyllum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026233		Solanum annuum	SPECIES	wfo-4000035688	C.V.Morton	Solanaceae				Solanum 		annuum		sp.		"""C.V.Morton, Revis. Argentine Sp. Solanum 102. 1976., 1976."""	sol-0001026233		accepted					http://solanaceaesource.org/solanaceae/solanum-annuum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026241		Solanum anomalostemon	SPECIES	wfo-4000035688	S.Knapp & M.Nee	Solanaceae				Solanum 		anomalostemon		sp.		"""S. K. & M.Nee, Novon 19: 178. 2009., 2009."""	sol-0001026241		accepted					http://solanaceaesource.org/solanaceae/solanum-anomalostemon	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026242		Solanum anomalum	SPECIES	wfo-4000035688	Thonn.	Solanaceae				Solanum 		anomalum		sp.		"""Thonn., in Schumach. &  Thonn., Bescr. Guin. Pl. 126 1827., 1827."""	sol-0001026242		accepted					http://solanaceaesource.org/solanaceae/solanum-anomalum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026259		Solanum antisuyo	SPECIES	wfo-4000035688	S?rkinen & S.Knapp	Solanaceae				Solanum 		antisuyo		sp.		"""PhytoKeys 44: 47. 2015., 2015."""	sol-0001026259		accepted					http://solanaceaesource.org/solanaceae/solanum-antisuyo	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026267		Solanum aphyodendron	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		aphyodendron		sp.		"""S.Knapp, Ann. Missouri Bot. Gard. 72: 565. 1985., 1985."""	sol-0001026267		accepted					http://solanaceaesource.org/solanaceae/solanum-aphyodendron	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026279		Solanum appressum	SPECIES	wfo-4000035688	K.E.Roe	Solanaceae				Solanum 		appressum		sp.		"""Roe, Brittonia 24: 263. 1972., 1972."""	sol-0001026279		accepted					http://solanaceaesource.org/solanaceae/solanum-appressum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026299		Solanum arcanum	SPECIES	wfo-4000035688	Peralta	Solanaceae				Solanum 		arcanum		sp.		"""Peralta, Syst. Bot. 30: 424. 2005., 2005."""	sol-0001026299		accepted					http://solanaceaesource.org/solanaceae/solanum-arcanum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026305		Solanum arenarium	SPECIES	wfo-4000035688	Sendtn.	Solanaceae				Solanum 		arenarium		sp.		"""Sendtn., Fl. Bras. (Martius) 10: 26, tab. 16-18. 1846., 1846."""	sol-0001026305		accepted					http://solanaceaesource.org/solanaceae/solanum-arenarium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026307		Solanum arenicola	SPECIES	wfo-4000035688	S?rkinen & P.Gonz?les	Solanaceae				Solanum 		arenicola		sp.		"""PhytoKeys 44: 53. 2015., 2015."""	sol-0001026307		accepted					http://solanaceaesource.org/solanaceae/solanum-arenicola	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
